title,author,rating,publisher,pages,category,language
The book of fantasy,Sarah May,N/A,Mystery inc,20,Fiction,English
Trying something new,Alisha,1.9,Yesterday inc,112,Detective,English
A funny story,Daniel,4.4,Nan inc,25,Sci-fi,English
Imaginary World,Jaden,2.2,Yesterday inc,350,Fantasy,English
A funny story,Daniel,4.4,Nan inc,25,Fiction,English
Here is Home,Steven Queen,1.4,Tool inc,80,Sci-fi,English
Adventures of Jill,Riley K,2.8,Hop inc,100,Fiction,English
Scooby Doo,Tammy,4.1,Nan inc,26,Detective,English
The book of fantasy,Sarah May,N/A,Mystery inc,20,Fantasy,English
Detective Book,Zayna,3.9,Weird inc,200,Detective,English
Trying something new,Sarah May,N/A,Mystery inc,39,Sci-fi,English
Successful Book,Jaden,3.9,Tool inc,210,Fiction,English
The book of fantasy,Sarah May,N/A,Mystery inc,20,Sci-fi,English
Crazy Adventure,Tom,4.5,Tiger inc,40,Fantasy,English
Mystery Town,Cynthia,3.1,Talent inc,82,Detective,English
